class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,6006.711422,6367.510416,6672.975389,6535.285232,6500.412808,6494.711001,6501.54056,6500.06605,6496.575522,6497.333333,6465.961728,6422.594903,6366.554178,6282.055983,6192.611678
skin,2079.724869,2841.598512,3074.709813,3411.732624,3497.828758,3558.604363,3579.095554,3590.908402,3584.731522,3575.382962,3542.39049,3495.825579,3433.827731,3351.657143,3255.460547
skin,6489.444197,6828.689577,7097.552345,6929.704994,6882.215776,6870.868501,6880.669765,6875.684091,6877.196602,6878.708333,6843.601355,6793.887655,6722.456743,6617.956827,6497.660519
skin,7010.42131,7089.799818,7279.073099,6952.192998,6830.637063,6749.014171,6709.670674,6659.869787,6608.094071,6554.375,6457.126216,6351.886484,6232.973371,6088.611943,5942.868071
skin,5564.845981,5896.265781,6187.568263,6143.808424,6155.126632,6197.330491,6233.804425,6259.681072,6290.719376,6324.25,6324.01049,6310.648079,6274.444717,6205.959454,6122.477681
skin,6725.411223,7149.177657,7502.197648,7413.181091,7420.930492,7471.238202,7548.672598,7597.886852,7650.330447,7706.669975,7668.81724,7587.879737,7446.962818,7350.341089,7231.540544
skin,1868.906006,1902.280447,1919.433622,1926.168492,1927.978782,1928.800102,1927.449231,1924.358233,1918.736804,1910.096438,1894.5482,1875.612185,1858.830057,1846.678225,1844.317549
skin,3047.833365,3568.699403,3752.862713,4068.856,4228.294199,4394.920598,4485.978789,4564.050633,4631.063208,4687.211919,4713.91927,4696.962248,4664.256099,4581.097474,4492.765248
skin,3316.065541,3399.011624,3492.842469,3394.141017,3359.345752,3333.24151,3316.162607,3287.921208,3248.517746,3195.405857,3114.70435,3021.458325,2916.904047,2798.704319,2679.120788
skin,4693.665315,4828.037003,5004.796796,4860.586271,4863.243194,4904.83147,4949.970913,4987.594937,5037.416303,5092.244466,5134.070344,5165.832796,5176.396078,5160.004281,5121.378653
skin,6681.373112,7033.269634,7347.014816,7208.613826,7193.127301,7206.606028,7221.795131,7219.560294,7212.461552,7193.333333,7127.010478,7043.475626,6937.710148,6796.091886,6637.724239
